"kickc","quick-sort",0,0,0,1
"sdcc","quick-sort",2859,85791189,300000000,2
"cc65","counting-sort",2098,509841,1673750,0
"llvm-mos","counting-sort",2328,75002199,300000002,2
"vbcc","counting-sort",1933,406884,1366740,0
"osdk-lcc65","counting-sort",3737,659676,2137721,0
"osdk-lcc65-ng","counting-sort",3091,564172,1843236,0
"kickc","counting-sort",0,0,0,1
"sdcc","counting-sort",4248,365583,1157857,3
"cc65","radix-sort",2567,1824892,6128389,0
"llvm-mos","radix-sort",3460,99999677,300000001,2
"vbcc","radix-sort",2499,1931216,6482986,0
"osdk-lcc65","radix-sort",4659,2388241,7924337,0
"osdk-lcc65-ng","radix-sort",3737,2209912,7373714,0
"kickc","radix-sort",0,0,0,1
"sdcc","radix-sort",4992,336852,1068942,3
"cc65","shell-sort",1760,1117638,3705706,0
"llvm-mos","shell-sort",1943,456780,1340236,0
"vbcc","shell-sort",1676,618006,2028688,0
"osdk-lcc65","shell-sort",2172,1188789,3704984,0
"osdk-lcc65-ng","shell-sort",1773,954706,3003225,0
"kickc","shell-sort",0,0,0,1
"sdcc","shell-sort",2763,410674,1326595,3
"cc65","heap-sort",2041,1206731,4040806,0
"llvm-mos","heap-sort",2245,494005,1487199,0
"vbcc","heap-sort",1810,684423,2260800,0
"osdk-lcc65","heap-sort",2744,1661441,5339768,0
"osdk-lcc65-ng","heap-sort",2215,1423235,4618171,0
"kickc","heap-sort",0,0,0,1
"sdcc","heap-sort",3167,329571,1057666,3
"cc65","eight-queens",1063,7885744,27965949,0
"llvm-mos","eight-queens",1075,1018801,2892458,0
"vbcc","eight-queens",884,2750070,8496053,0
"osdk-lcc65","eight-queens",2649,23357198,72651727,0
"osdk-lcc65-ng","eight-queens",2282,20241172,62197144,0
"kickc","eight-queens",593,1741322,5565918,0
"sdcc","eight-queens",1438,4604691,14516371,0
"cc65","qrcode",19691,30011085,97352267,0
"llvm-mos","qrcode",0,0,0,1
"vbcc","qrcode",19472,8423860,26383848,3
"osdk-lcc65","qrcode",37926,33548017,116997830,3
"osdk-lcc65-ng","qrcode",30911,28789,90417,3
"kickc","qrcode",0,0,0,1
"sdcc","qrcode",0,0,0,1
